,Unnamed: 0,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot,Codechef,Salary,DSA
214,214,21,Male,Electrical,1,7,0,0,1,3.0,42390.0,600.0
215,215,21,Female,Civil,1,6,0,0,0,3.0,30803.0,500.0
216,216,21,Male,Computer Science,3,6,0,0,1,5.0,53969.0,700.0
217,217,21,Male,Civil,1,7,1,0,0,3.0,40496.0,600.0
218,218,22,Male,Electrical,1,7,0,0,0,3.0,42902.0,600.0
219,219,21,Male,Electronics And Communication,2,6,1,1,0,4.0,40214.0,600.0
220,220,22,Male,Electrical,1,8,0,1,1,3.0,52306.0,700.0
221,221,22,Male,Computer Science,2,8,0,0,1,4.0,63460.0,800.0
222,222,21,Male,Mechanical,1,6,1,1,0,3.0,32478.0,500.0
223,223,22,Male,Computer Science,0,7,0,0,0,2.0,34599.0,500.0
224,224,22,Male,Civil,0,6,0,0,0,2.0,20642.0,400.0
225,225,21,Male,Civil,0,6,1,0,0,2.0,23903.0,400.0
226,226,21,Female,Computer Science,1,7,1,0,0,3.0,44492.0,600.0
227,227,21,Male,Computer Science,2,7,0,0,1,4.0,51395.0,700.0
228,228,21,Female,Mechanical,1,6,1,0,0,3.0,33893.0,500.0
229,229,22,Male,Mechanical,0,6,1,0,0,2.0,20435.0,400.0
230,230,22,Male,Electronics And Communication,1,8,0,0,1,3.0,53165.0,700.0
231,231,22,Male,Computer Science,1,8,0,0,1,3.0,52826.0,700.0
232,232,21,Female,Information Technology,0,8,0,0,1,2.0,40851.0,600.0
233,233,22,Male,Information Technology,1,7,0,0,0,3.0,41043.0,600.0
234,234,21,Male,Information Technology,0,8,0,1,1,2.0,42299.0,600.0
235,235,22,Male,Computer Science,1,8,0,0,1,3.0,52074.0,700.0
236,236,22,Male,Computer Science,1,7,0,0,0,3.0,40865.0,600.0
237,237,21,Female,Information Technology,2,7,0,0,1,4.0,50692.0,700.0
238,238,21,Female,Mechanical,1,8,1,0,1,3.0,50370.0,700.0
239,239,21,Female,Computer Science,1,6,1,0,0,3.0,30764.0,500.0
240,240,22,Female,Information Technology,1,7,0,0,0,3.0,41818.0,600.0
241,241,22,Female,Computer Science,0,6,1,0,0,2.0,21341.0,400.0
242,242,21,Male,Information Technology,2,8,1,0,1,4.0,64121.0,800.0
243,243,22,Male,Civil,0,7,1,1,0,2.0,33985.0,500.0
244,244,21,Male,Electrical,1,6,0,0,0,3.0,32940.0,500.0
245,245,21,Male,Electronics And Communication,2,6,0,0,1,4.0,42970.0,600.0
246,246,21,Male,Mechanical,1,7,1,0,0,3.0,44179.0,600.0
247,247,22,Male,Civil,0,7,0,0,0,2.0,31970.0,500.0
248,248,22,Female,Electrical,1,6,0,0,0,3.0,30916.0,500.0
249,249,22,Male,Computer Science,0,8,0,0,1,2.0,42971.0,600.0
250,250,21,Male,Computer Science,3,8,0,0,1,5.0,73119.0,900.0
251,251,21,Female,Information Technology,0,8,0,1,1,2.0,40789.0,600.0
252,252,22,Male,Electronics And Communication,0,6,0,0,0,2.0,22642.0,400.0
253,253,22,Male,Civil,1,7,0,0,0,3.0,43360.0,600.0
254,254,22,Male,Information Technology,1,8,1,1,1,3.0,52456.0,700.0
255,255,22,Female,Computer Science,1,8,1,1,1,3.0,50633.0,700.0
256,256,22,Male,Mechanical,1,8,1,0,1,3.0,51514.0,700.0
257,257,21,Male,Electrical,2,6,0,0,1,4.0,43811.0,600.0
258,258,22,Male,Electronics And Communication,1,6,0,0,0,3.0,34841.0,500.0
259,259,22,Male,Information Technology,0,8,0,0,1,2.0,43332.0,600.0
260,260,22,Female,Computer Science,1,7,1,0,0,3.0,43417.0,600.0
261,261,21,Male,Information Technology,1,8,0,0,1,3.0,54564.0,700.0
262,262,21,Male,Electrical,1,7,0,0,1,3.0,40570.0,600.0
263,263,22,Male,Mechanical,0,8,1,1,1,2.0,44337.0,600.0
264,264,21,Male,Civil,0,6,0,0,0,2.0,21610.0,400.0
265,265,21,Male,Information Technology,1,6,0,0,0,3.0,33702.0,500.0
266,266,21,Female,Information Technology,1,8,0,0,1,3.0,53943.0,700.0
267,267,22,Male,Electronics And Communication,1,8,1,1,1,3.0,53441.0,700.0
268,268,21,Male,Civil,1,7,0,0,0,3.0,41772.0,600.0
269,269,22,Male,Information Technology,2,6,0,0,1,4.0,41405.0,600.0
270,270,21,Male,Electrical,0,6,1,0,0,2.0,20513.0,400.0
271,271,22,Male,Information Technology,1,7,1,1,0,3.0,43592.0,600.0
272,272,21,Male,Electronics And Communication,0,6,0,0,0,2.0,24144.0,400.0
273,273,22,Male,Computer Science,0,8,0,1,1,2.0,42785.0,600.0
274,274,21,Male,Electronics And Communication,1,7,0,0,0,3.0,42099.0,600.0
275,275,22,Male,Mechanical,0,6,1,0,0,2.0,23142.0,400.0
276,276,21,Male,Civil,0,7,0,0,0,2.0,32682.0,500.0
277,277,21,Female,Civil,1,7,1,0,0,3.0,43444.0,600.0
278,278,21,Male,Computer Science,1,7,0,0,0,3.0,43216.0,600.0
279,279,21,Male,Information Technology,0,6,0,1,1,2.0,24918.0,400.0
280,280,21,Female,Electronics And Communication,2,7,0,0,1,4.0,52058.0,700.0
281,281,22,Female,Mechanical,1,8,1,0,1,3.0,54738.0,700.0
282,282,21,Male,Mechanical,0,6,1,1,1,2.0,20636.0,400.0
283,283,21,Male,Civil,0,7,1,0,1,2.0,33012.0,500.0
284,284,22,Male,Electronics And Communication,0,8,0,0,1,2.0,40448.0,600.0
285,285,21,Male,Electronics And Communication,1,6,1,1,1,3.0,30446.0,500.0
286,286,21,Male,Mechanical,2,6,1,0,0,4.0,40497.0,600.0
287,287,22,Male,Computer Science,0,8,0,0,1,2.0,44086.0,600.0
288,288,21,Male,Civil,0,7,0,0,0,2.0,34919.0,500.0
289,289,22,Male,Information Technology,0,7,0,0,0,2.0,30629.0,500.0
290,290,22,Male,Computer Science,0,7,0,0,0,2.0,30998.0,500.0
291,291,22,Male,Civil,1,6,1,0,0,3.0,32419.0,500.0
292,292,22,Female,Computer Science,2,6,1,1,0,4.0,44300.0,600.0
293,293,22,Male,Electronics And Communication,0,7,0,0,1,2.0,31555.0,500.0
294,294,21,Male,Civil,0,8,0,0,1,2.0,43551.0,600.0
295,295,21,Male,Civil,0,8,0,0,1,2.0,43600.0,600.0
296,296,22,Male,Computer Science,2,6,0,0,1,4.0,44652.0,600.0
297,297,22,Male,Computer Science,2,7,0,0,1,4.0,52936.0,700.0
298,298,22,Male,Electronics And Communication,1,7,1,1,1,3.0,44187.0,600.0
299,299,21,Male,Information Technology,2,7,0,0,1,4.0,54832.0,700.0
300,300,22,Male,Civil,0,6,0,0,0,2.0,24164.0,400.0
301,301,22,Male,Civil,1,6,0,0,1,3.0,34497.0,500.0
302,302,21,Male,Electronics And Communication,0,7,0,0,0,2.0,33649.0,500.0
303,303,21,Male,Information Technology,0,7,0,0,1,2.0,32579.0,500.0
304,304,22,Male,Electronics And Communication,1,8,0,0,1,3.0,54579.0,700.0
305,305,22,Male,Computer Science,0,6,0,1,0,2.0,23787.0,400.0
306,306,22,Male,Electrical,2,8,0,1,1,4.0,62866.0,800.0
307,307,22,Male,Information Technology,0,6,0,1,1,2.0,23914.0,400.0
308,308,22,Female,Computer Science,1,6,1,0,1,3.0,34793.0,500.0
309,309,21,Male,Electrical,0,8,0,0,1,2.0,43594.0,600.0
310,310,21,Male,Computer Science,1,7,0,0,1,3.0,41075.0,600.0
311,311,22,Male,Information Technology,2,7,0,1,1,4.0,52003.0,700.0
312,312,22,Female,Computer Science,1,8,1,0,1,3.0,50851.0,700.0
313,313,22,Male,Civil,0,6,0,0,1,2.0,23856.0,400.0
314,314,22,Male,Mechanical,0,6,1,0,1,2.0,23651.0,400.0
315,315,22,Male,Civil,0,7,0,0,0,2.0,34741.0,500.0
316,316,22,Female,Information Technology,0,6,0,0,1,2.0,21316.0,400.0
317,317,22,Male,Electrical,1,8,0,0,1,3.0,50916.0,700.0
318,318,21,Female,Computer Science,0,6,1,0,0,2.0,20990.0,400.0
319,319,21,Male,Computer Science,1,6,0,0,1,3.0,30603.0,500.0
320,320,21,Male,Computer Science,0,8,0,0,1,2.0,40665.0,600.0
321,321,21,Male,Mechanical,0,7,0,1,1,2.0,32572.0,500.0
322,322,21,Male,Computer Science,2,8,0,0,1,4.0,60076.0,800.0
323,323,22,Male,Civil,0,8,1,0,1,2.0,40238.0,600.0
324,324,21,Male,Mechanical,1,6,1,0,0,3.0,33053.0,500.0
325,325,22,Male,Computer Science,0,8,0,0,1,2.0,41101.0,600.0
326,326,21,Male,Computer Science,1,8,0,0,1,3.0,53847.0,700.0
327,327,21,Male,Electronics And Communication,0,6,0,0,0,2.0,20863.0,400.0
328,328,22,Male,Electronics And Communication,1,6,1,1,0,3.0,33856.0,500.0
329,329,22,Male,Information Technology,0,8,0,0,1,2.0,44489.0,600.0
330,330,21,Male,Computer Science,1,6,0,0,0,3.0,31374.0,500.0
331,331,22,Female,Electrical,0,6,0,0,1,2.0,20052.0,400.0
332,332,22,Male,Electronics And Communication,0,7,0,0,0,2.0,30755.0,500.0
333,333,21,Male,Information Technology,0,8,0,0,1,2.0,44450.0,600.0
334,334,22,Male,Mechanical,0,8,1,1,1,2.0,42336.0,600.0
335,335,22,Male,Mechanical,0,7,1,1,0,2.0,30916.0,500.0
336,336,21,Male,Electronics And Communication,0,8,0,0,1,2.0,42041.0,600.0
337,337,21,Male,Information Technology,1,6,0,0,0,3.0,34882.0,500.0
338,338,22,Female,Computer Science,2,7,1,0,1,4.0,53941.0,700.0
339,339,22,Male,Electronics And Communication,0,7,0,0,0,2.0,32099.0,500.0
340,340,21,Male,Electronics And Communication,1,7,0,1,1,3.0,44205.0,600.0
341,341,22,Male,Information Technology,0,8,0,0,1,2.0,41519.0,600.0
342,342,21,Male,Information Technology,0,8,0,0,1,2.0,40303.0,600.0
343,343,22,Female,Electrical,1,8,0,1,1,3.0,52922.0,700.0
344,344,22,Male,Information Technology,1,6,0,0,1,3.0,34067.0,500.0
345,345,22,Male,Mechanical,0,8,1,1,1,2.0,40688.0,600.0
346,346,21,Male,Mechanical,0,6,1,0,1,2.0,24099.0,400.0
347,347,21,Male,Electronics And Communication,1,8,0,0,1,3.0,51967.0,700.0
348,348,21,Male,Civil,0,7,0,0,0,2.0,33754.0,500.0
349,349,22,Female,Computer Science,1,8,1,0,1,3.0,53073.0,700.0
350,350,22,Female,Information Technology,1,7,0,0,1,3.0,40021.0,600.0
351,351,21,Male,Mechanical,1,6,1,0,0,3.0,33963.0,500.0
352,352,21,Male,Mechanical,0,7,1,0,1,2.0,33495.0,500.0
353,353,21,Male,Electronics And Communication,0,8,0,0,1,2.0,44947.0,600.0
354,354,22,Male,Computer Science,0,6,0,0,1,2.0,22863.0,400.0
355,355,22,Male,Electrical,0,6,0,1,0,2.0,24898.0,400.0
356,356,21,Male,Information Technology,2,8,0,0,1,4.0,64490.0,800.0
357,357,22,Male,Electrical,0,8,0,0,1,2.0,44272.0,600.0
358,358,21,Male,Electronics And Communication,1,7,0,0,0,3.0,44406.0,600.0
359,359,22,Male,Mechanical,0,7,1,0,1,2.0,32080.0,500.0
360,360,22,Male,Electronics And Communication,0,7,0,0,0,2.0,31243.0,500.0
361,361,21,Male,Computer Science,1,8,0,0,1,3.0,50378.0,700.0
362,362,22,Male,Electronics And Communication,0,8,0,0,1,2.0,44151.0,600.0
